area;upm;c01;c02;c03;c04a;c05a;c05b;c06a;c06b;c07;c08a;c09;c10;c11;c12;c13;c14;c15a;c16a;c17a;c18;c19;c20a;c21a;estrato;fexp;periodo
1;010150006902;2;2;2;2;3;2;3;2;2;1;3;3;3;3;3;3;2;2;2;3;3;3;2;2711;193,984669315933;202102
1;010150006902;3;2;3;2;1;2;3;2;2;2;3;3;3;3;3;3;2;2;2;3;3;3;3;2711;252,204429098689;202102
1;010150006902;3;2;2;2;3;2;3;2;3;2;3;3;3;3;3;2;2;2;2;3;1;2;2;2711;151,645420888962;202102
1;010150006902;1;2;2;2;2;2;3;2;2;2;2;3;3;3;3;3;2;2;2;2;2;3;2;2711;151,645420888962;202102
1;010150006902;2;2;2;1;3;2;3;2;2;2;3;3;3;1;1;2;2;2;2;2;2;2;2;2711;202,04004537031;202102
1;010150006902;2;2;2;2;2;2;2;2;2;3;3;3;1;2;2;2;2;2;2;3;3;3;3;2711;175,904108862965;202102
1;010150006902;3;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;3;2;3;2;2711;163,324990814701;202102
1;010150007702;2;2;2;2;3;2;3;2;1;2;3;3;3;2;3;3;2;2;2;3;3;3;3;2711;175,904108862965;202102
1;010150007702;2;2;2;2;2;2;2;2;2;2;3;2;2;2;3;3;2;2;2;2;2;3;3;2711;151,645420888962;202102
1;010150007702;2;3;2;2;3;2;3;2;1;1;3;3;3;3;2;2;2;2;2;3;3;3;3;2711;130,732214416351;202102
1;010150007702;3;2;2;2;3;2;2;2;3;2;3;3;3;2;2;2;2;2;2;3;3;3;3;2711;289,913844807233;202102
1;010150007702;3;2;2;2;2;2;2;2;1;2;3;3;3;2;3;3;2;2;2;2;3;3;3;2711;151,645420888962;202102
1;010150007702;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;3;2711;130,732214416351;202102
1;010150007702;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2711;151,645420888962;202102
1;010150008301;2;2;2;2;3;2;2;2;3;2;3;2;3;2;2;3;2;2;2;3;3;3;3;2711;170,371337977365;202102
1;010150008301;2;2;2;2;2;2;2;2;3;3;2;2;2;2;2;2;2;2;2;3;3;3;3;2711;271,41266888911;202102
1;010150008301;2;2;1;2;2;2;2;2;2;2;2;3;3;3;2;2;2;2;2;3;3;3;3;2711;229,750523033522;202102
1;010150008301;2;2;2;2;2;2;2;3;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2711;155,857793691433;202102
1;010150008301;2;2;2;2;2;2;2;2;2;2;3;2;3;2;2;3;2;2;2;3;3;3;3;2711;242,782354301443;202102
1;010150008301;2;3;2;3;2;2;3;2;2;2;2;2;3;2;2;3;2;2;2;2;2;2;2;2711;225,494361156548;202102
1;010150008301;3;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;3;2;2;2711;155,857793691433;202102
1;010150008702;2;2;2;2;2;2;2;2;1;1;2;2;2;1;3;3;2;2;2;3;3;3;3;2711;168,264318230719;202102
1;010150008702;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;3;2711;141,63122325162;202102
1;010150008702;2;2;2;2;2;2;2;2;2;2;2;3;2;2;3;3;2;2;2;2;2;2;2;2711;123,312972990549;202102
1;010150008702;2;2;2;2;2;2;2;2;2;2;3;2;2;1;2;2;2;2;2;3;3;3;3;2711;181,075877614481;202102
1;010150008702;2;2;1;1;1;1;1;1;1;1;3;3;3;3;3;3;2;2;2;3;3;3;3;2711;187,147675670528;202102
1;010150008702;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;3;2;2;2711;189,216519902541;202102
1;010150008702;2;2;3;2;3;2;3;2;1;2;3;3;3;3;3;3;2;2;2;3;3;3;3;2711;196,574042270164;202102
1;010150010202;2;3;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;3;3;3;3;2711;176,785039699021;202102
1;010150010202;3;2;2;3;3;2;2;2;2;2;2;2;2;2;3;3;2;2;2;2;2;3;3;2711;114,390687614307;202102
1;010150010202;3;2;2;2;2;2;2;2;2;2;3;2;2;3;2;2;2;2;2;3;3;3;3;2711;114,390687614307;202102
1;010150010202;2;3;2;2;2;2;3;2;2;2;3;2;3;2;2;2;2;2;2;2;2;2;2;2711;139,418235388314;202102
1;010150010202;2;2;2;2;2;2;2;2;2;2;3;3;2;2;3;3;2;2;2;1;1;2;2;2711;220,678875461353;202102
1;010150010202;2;3;2;2;2;2;2;2;2;2;3;3;3;2;2;2;2;2;2;3;3;3;3;2711;253,674614206329;202102
1;010150010202;3;3;2;2;1;1;2;2;3;3;3;2;2;3;3;3;2;2;2;3;3;3;3;2711;185,139605855716;202102
1;010150010503;3;2;1;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2713;175,741311930219;202102
1;010150010503;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;184,652882648465;202102
1;010150010503;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;159,18766360029;202102
1;010150011601;2;3;2;2;4;2;4;3;2;2;2;2;2;3;2;3;2;2;2;2;2;3;3;2712;175,132586708433;202102
1;010150011601;3;2;2;3;3;2;3;2;2;2;2;2;3;3;2;3;2;2;2;2;2;3;3;2712;196,606642648152;202102
1;010150011601;3;2;3;2;3;2;3;2;3;2;3;2;3;3;3;2;2;2;2;2;3;3;3;2712;237,133554222946;202102
1;010150011601;2;2;2;3;3;2;3;3;3;3;2;2;2;3;2;2;2;2;2;2;3;2;3;2712;162,608641153418;202102
1;010150011601;2;3;2;2;2;2;3;2;1;2;3;3;2;3;1;3;2;2;2;2;2;3;3;2712;188,621113303869;202102
1;010150011601;2;3;2;3;3;2;3;3;3;2;2;3;2;3;3;3;2;2;2;2;3;2;3;2712;251,098250819066;202102
1;010150011601;2;2;3;2;3;2;3;2;2;2;2;2;2;3;2;3;2;2;2;2;2;3;3;2712;140,183512410743;202102
1;010150011801;2;2;1;2;2;2;2;2;1;2;3;2;3;3;2;2;2;2;2;3;2;3;2;2713;185,50492783892;202102
1;010150011801;2;2;1;2;2;2;2;2;2;1;3;3;3;3;3;2;2;2;2;3;2;3;3;2713;163,926769951717;202102
1;010150011801;2;2;2;2;2;2;2;2;1;2;3;2;3;2;2;3;2;2;2;2;3;2;2;2713;249,194969686516;202102
1;010150011801;3;2;2;2;2;2;2;1;2;3;2;3;2;3;2;2;2;2;2;3;2;3;2;2713;286,454413297277;202102
1;010150011801;2;2;1;2;2;2;2;2;2;2;3;2;3;1;3;2;2;2;2;3;3;3;3;2713;172,239243478821;202102
1;010150011801;3;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;2;2;2;3;3;3;3;2713;172,239243478821;202102
1;010150011801;2;2;1;2;2;2;2;2;1;2;3;2;3;2;3;2;2;2;2;3;2;3;3;2713;220,328266383529;202102
1;010150012101;3;3;2;2;2;2;2;2;2;2;3;3;3;3;3;3;2;2;2;3;2;1;2;2712;275,868282998507;202102
1;010150012101;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;2;2;2;3;3;3;3;2712;306,827427806763;202102
1;010150012101;3;3;2;2;3;2;3;2;3;3;3;3;3;3;3;3;2;2;2;3;3;3;3;2712;344,250923862899;202102
1;010150012101;2;2;2;2;2;3;2;3;2;2;2;3;3;3;3;3;2;2;2;3;2;3;2;2712;341,990926188557;202102
1;010150012101;2;2;2;2;4;2;4;2;2;2;3;3;3;3;3;3;2;2;2;3;3;3;2;2712;232,203492625388;202102
1;010150012101;3;3;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2;2;2;2;3;2;3;2712;288,28557561788;202102
1;010150012101;3;3;1;1;3;2;3;2;2;2;3;3;3;2;3;2;2;2;2;2;2;2;2;2712;256,140604548917;202102
1;010150012302;2;2;1;2;2;2;2;2;1;1;3;3;3;3;3;3;2;2;2;3;2;3;3;2713;102,343469888774;202102
1;010150012302;3;2;2;2;2;2;2;2;1;2;3;3;3;3;3;3;2;2;2;3;3;3;3;2713;112,985989359738;202102
1;010150012302;3;2;3;2;2;2;2;2;2;2;3;2;3;2;2;2;2;2;2;3;2;3;2;2713;107,533149307048;202102
1;010150012302;3;2;2;2;2;2;2;2;1;1;3;3;3;3;3;3;2;2;2;3;3;3;3;2713;107,533149307048;202102
1;010150012302;2;2;1;2;2;2;2;2;1;1;3;2;3;2;3;2;2;2;2;3;3;3;2;2713;124,653716088291;202102
1;010150012302;2;2;2;2;2;2;2;2;1;2;3;2;3;2;3;2;2;2;2;3;2;3;2;2713;107,533149307048;202102
1;010150012505;2;2;2;1;3;2;3;2;1;2;3;3;3;3;3;2;2;2;2;3;2;3;3;2711;138,798598786588;202102
1;010150012505;2;2;3;2;3;2;3;2;2;2;3;3;3;3;3;2;2;2;2;3;3;3;3;2711;132,100011085496;202102
1;010150012505;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;1;2;2;3;3;2;3;2711;125,724705302099;202102
1;010150012505;2;2;2;2;2;2;2;2;2;2;3;3;2;2;2;2;2;2;2;3;3;3;3;2711;132,100011085496;202102
1;010150012505;2;2;2;2;2;2;2;2;2;2;3;2;3;3;3;2;2;2;2;2;3;3;3;2711;113,882284558244;202102
1;010150015201;2;2;2;2;3;2;3;2;1;1;3;3;3;3;3;3;2;2;2;3;3;3;3;2713;111,244084915968;202102
1;010150015201;3;2;2;2;3;2;3;2;1;1;3;3;3;3;3;3;2;2;2;3;3;3;3;2713;149,682247109339;202102
1;010150015201;2;2;2;2;2;3;2;3;2;1;1;3;3;3;3;3;2;2;2;2;3;3;3;2713;129,039779168457;202102
1;010150015201;2;2;2;2;3;2;3;2;1;1;3;3;3;3;3;3;2;2;2;2;2;3;3;2713;149,682247109339;202102
1;010150015201;2;2;2;2;3;2;3;2;2;2;2;2;3;3;3;3;1;2;1;3;3;3;3;2713;149,682247109339;202102
1;010150015504;2;2;2;2;3;2;3;2;2;2;3;3;2;2;2;2;2;2;2;3;3;3;3;2712;105,475875342758;202102
1;010150015504;3;2;2;2;3;2;3;2;2;2;3;2;2;2;2;3;2;2;2;3;3;3;3;2712;141,68926866202;202102
1;010150015504;2;2;2;2;3;2;3;2;1;2;3;3;3;3;3;3;2;2;2;2;2;2;3;2712;100,385482446074;202102
1;010150015504;2;2;2;2;3;3;3;2;2;1;3;3;3;2;2;2;2;2;2;3;2;3;3;2712;201,647477225296;202102
1;010150015504;2;2;2;2;3;2;3;2;2;2;3;3;2;2;3;2;2;2;2;3;3;3;3;2712;162,47239212659;202102
1;010150015504;2;2;2;2;3;2;3;2;2;2;3;3;2;2;3;3;2;2;2;3;3;3;3;2712;187,227419407728;202102
1;010150016502;2;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;104,274569025016;202102
1;010150016502;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;160,621930013941;202102
1;010150016502;2;2;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;145,49242566279;202102
1;010150016502;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;133,387923432191;202102
1;010150016802;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;286,454413297277;202102
1;010150016802;3;3;2;2;2;2;2;2;2;2;2;2;2;3;3;3;2;2;2;3;3;3;3;2713;265,313009398027;202102
1;010150016802;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;2713;199,792321177689;202102
1;010150016802;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;199,792321177689;202102
1;010150016802;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;2;2713;148,485971929683;202102
1;010150016802;3;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;172,239243478821;202102
1;010150016802;3;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2713;148,485971929683;202102
1;010150019401;3;2;2;2;3;2;2;2;1;2;3;2;3;2;3;2;2;2;2;3;2;3;2;2713;231,62470082123;202102
1;010150019401;2;2;1;2;2;2;2;2;1;2;3;3;3;3;3;3;2;2;2;3;3;3;3;2713;354,441958676594;202102
1;010150019401;3;2;2;2;3;2;2;2;1;2;3;2;3;3;3;3;2;2;2;3;2;3;2;2713;173,279949018031;202102
1;010150019401;2;2;1;2;2;2;2;2;1;2;3;2;3;2;2;2;2;2;2;3;2;3;2;2713;227,271925324641;202102
1;010150019401;2;2;2;1;2;2;2;2;1;1;2;2;3;2;2;3;2;2;2;3;1;3;2;2713;261,253451904392;202102
1;010150019401;1;2;2;2;2;2;2;2;1;2;3;3;3;3;3;3;2;2;2;3;2;3;2;2713;211,191883046686;202102
1;010150019401;2;2;2;2;3;2;2;1;2;3;3;3;3;3;3;3;2;2;2;3;3;3;3;2713;173,279949018031;202102
1;010150019503;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;179,310793390516;202102
1;010150019503;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;87,0850159695707;202102
1;010150019503;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;108,796133354177;202102
1;010150019503;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;117,175496474483;202102
1;010150019503;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;106,138353640966;202102
1;010150021501;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2712;166,485847639158;202102
1;010150021501;3;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2712;116,023462877033;202102
1;010150021501;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2712;134,583713276274;202102
1;010150021501;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2712;134,473817388182;202102
1;010150021501;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2712;116,023462877033;202102
1;010150021501;2;2;1;2;3;2;3;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2712;116,023462877033;202102
1;010150022303;2;3;2;3;3;2;3;2;2;3;3;3;2;2;3;2;2;2;2;2;3;3;2;2712;176,046372416944;202102
1;010150022303;2;2;2;2;3;2;3;3;3;3;2;2;2;3;3;3;2;2;2;2;2;3;3;2712;194,141555636854;202102
1;010150022303;3;2;2;2;3;2;3;2;2;3;3;2;2;3;3;3;2;2;2;3;2;3;3;2712;130,837944916694;202102
1;010150022303;2;3;3;3;3;2;3;3;3;2;2;2;2;3;3;3;2;2;2;2;3;3;3;2712;262,555703966767;202102
1;010150022303;3;2;2;2;2;2;2;3;2;3;2;3;2;2;3;3;2;2;2;2;2;2;3;2712;163,457080927871;202102
1;010150022303;2;3;2;3;3;2;3;2;3;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2712;151,768065076523;202102
1;010150022702;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;155,973924705363;202102
1;010150022702;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;3;1;2713;216,480689527085;202102
1;010150022702;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;3;2713;229,719485991139;202102
1;010150022702;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;3;3;2713;189,892529886105;202102
1;010150022702;3;3;3;3;3;3;3;3;3;1;2;2;2;2;2;2;2;2;2;3;3;3;2;2713;155,973924705363;202102
1;010150022702;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;2;2713;137,830848870194;202102
1;010150022702;3;1;2;2;3;2;2;2;3;3;3;1;3;3;3;2;2;2;2;3;3;3;1;2713;202,77685788226;202102
1;010150027003;2;2;2;2;2;2;2;2;1;1;3;3;2;2;3;3;2;2;2;2;2;3;3;2712;203,88689945297;202102
1;010150027003;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2712;174,152619469041;202102
1;010150027003;2;2;2;2;2;2;2;2;2;2;3;3;2;2;3;3;2;2;2;3;3;3;3;2712;192,105453411688;202102
1;010150027003;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2712;165,747804110048;202102
1;010150027003;2;2;2;2;3;2;3;2;2;2;3;3;2;2;3;3;2;2;2;2;2;2;2;2712;192,262447537534;202102
1;010150027003;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;3;2712;157,748615272401;202102
1;010150027003;3;2;2;2;3;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;3;2;2712;200,40213767997;202102
1;010150027401;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;3;1;2711;129,741082316112;202102
1;010150027401;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2711;111,848672333989;202102
1;010150027401;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;3;3;2;2711;129,741082316112;202102
1;010150027401;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2711;111,848672333989;202102
1;010150027401;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2711;199,849908166123;202102
1;010150027401;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;2;2711;150,495737582759;202102
1;010150027401;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2711;111,848672333989;202102
1;010150027402;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;3;2711;134,081406944203;202102
1;010150027402;2;2;3;3;3;3;3;3;2;3;2;2;2;2;2;2;2;2;2;3;2;3;3;2711;180,214152666963;202102
1;010150027402;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;3;1;2711;148,024299301173;202102
1;010150027402;3;3;2;3;2;3;3;2;3;3;3;3;3;3;3;3;2;2;2;3;3;3;3;2711;174,275204542706;202102
1;010150027402;3;3;2;3;4;2;2;2;2;1;3;3;2;2;2;2;2;2;2;3;3;3;2;2711;148,024299301173;202102
1;010150027402;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;2;2711;155,445704800241;202102
1;010150027402;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;2;2711;136,760742359633;202102
1;010150027703;3;3;2;2;3;2;3;2;1;1;3;3;3;3;3;3;2;2;2;3;3;3;3;2713;169,161356381632;202102
1;010150027703;2;2;2;2;3;2;3;2;2;2;3;3;3;3;3;3;2;2;2;3;3;3;3;2713;108,619342734391;202102
1;010150027703;2;1;2;2;3;2;3;2;2;2;3;3;3;3;3;3;2;2;2;3;3;3;3;2713;93,639802117818;202102
